name,version,min_upload_time,max_upload_time
pandas,2.2.1,2024-02-23 15:30:19.248570 UTC,2024-02-23 15:32:10.410704 UTC
pandas,2.2.0,2024-01-20 02:10:54.053228 UTC,2024-01-20 02:53:59.362940 UTC
pandas,2.2.0rc0,2023-12-22 20:01:52.726628 UTC,2023-12-22 20:24:55.802599 UTC
pandas,2.1.4,2023-12-08 15:37:00.781879 UTC,2023-12-08 15:38:29.713155 UTC
pandas,2.1.3,2023-11-10 19:13:33.959150 UTC,2023-11-10 19:19:47.654074 UTC
pandas,2.1.2,2023-10-26 19:22:55.532165 UTC,2023-10-26 19:24:28.300130 UTC
pandas,2.1.1,2023-09-20 21:03:54.378339 UTC,2023-09-20 21:05:19.391878 UTC
pandas,2.1.0,2023-08-30 13:13:26.120522 UTC,2023-08-30 13:14:24.318659 UTC
pandas,2.1.0rc0,2023-08-11 18:30:57.691528 UTC,2023-08-11 18:32:00.107462 UTC
pandas,2.0.3,2023-06-28 23:15:57.001717 UTC,2023-06-28 23:19:33.371357 UTC
pandas,2.0.2,2023-05-29 06:42:26.436954 UTC,2023-05-29 06:45:08.832501 UTC
pandas,2.0.1,2023-04-24 10:17:37.973468 UTC,2023-04-24 10:23:26.632094 UTC
pandas,2.0.0,2023-04-03 14:10:47.709938 UTC,2023-04-03 14:16:39.702728 UTC
pandas,2.0.0rc1,2023-03-16 17:55:51.415518 UTC,2023-03-16 17:57:48.513505 UTC
pandas,2.0.0rc0,2023-02-20 22:17:23.746784 UTC,2023-02-20 22:24:34.175408 UTC
pandas,1.5.3,2023-01-19 08:29:07.301403 UTC,2023-01-19 08:31:39.615491 UTC
pandas,1.5.2,2022-11-23 05:49:21.021142 UTC,2022-11-23 05:52:28.727837 UTC
pandas,1.5.1,2022-10-19 06:28:51.363097 UTC,2022-10-19 06:33:32.246874 UTC
pandas,1.5.0,2022-09-19 15:53:13.348635 UTC,2022-09-20 16:35:08.858444 UTC
pandas,1.4.4,2022-08-31 12:18:07.039749 UTC,2022-08-31 12:22:41.078552 UTC
pandas,1.5.0rc0,2022-08-24 12:06:35.057384 UTC,2022-08-24 12:20:35.071281 UTC
pandas,1.4.3,2022-06-23 13:30:09.536882 UTC,2022-06-23 13:31:50.924146 UTC
pandas,1.4.2,2022-04-02 10:32:27.198227 UTC,2022-04-02 10:37:04.146752 UTC
pandas,1.4.1,2022-02-12 11:21:13.980688 UTC,2022-02-12 11:25:08.392839 UTC
pandas,1.4.0,2022-01-22 14:47:00.594826 UTC,2022-01-22 14:52:35.821321 UTC
pandas,1.4.0rc0,2022-01-06 11:01:13.960851 UTC,2022-01-15 19:34:09.662028 UTC
pandas,1.3.5,2021-12-12 14:30:49.858085 UTC,2021-12-12 14:46:59.173029 UTC
pandas,1.3.4,2021-10-17 16:42:57.080893 UTC,2021-10-29 19:28:49.272461 UTC
pandas,1.3.3,2021-09-12 13:20:46.179253 UTC,2021-09-12 13:30:01.881023 UTC
pandas,1.3.2,2021-08-15 16:14:47.613433 UTC,2021-08-15 16:18:20.586351 UTC
pandas,1.3.1,2021-07-25 12:22:25.798191 UTC,2021-07-25 12:26:13.870859 UTC
pandas,1.3.0,2021-07-02 11:59:11.890793 UTC,2021-07-04 13:26:55.991372 UTC
pandas,1.2.5,2021-06-22 13:41:54.627572 UTC,2021-06-22 13:45:14.758637 UTC
pandas,1.3.0rc1,2021-06-13 19:56:48.607645 UTC,2021-06-13 20:00:57.131117 UTC
pandas,1.2.4,2021-04-12 18:43:31.918766 UTC,2021-04-12 18:45:39.349087 UTC
pandas,1.2.3,2021-03-02 12:05:36.600299 UTC,2021-03-02 12:10:52.696936 UTC
pandas,1.2.2,2021-02-09 13:20:50.361924 UTC,2021-02-09 13:24:48.287372 UTC
pandas,1.2.1,2021-01-20 13:34:07.508742 UTC,2021-01-20 13:40:18.771825 UTC
pandas,1.2.0,2020-12-26 16:58:54.157968 UTC,2020-12-26 17:03:58.331715 UTC
pandas,1.2.0rc0,2020-12-08 15:36:34.216050 UTC,2020-12-08 15:39:59.081869 UTC
pandas,1.1.5,2020-12-07 15:07:55.239292 UTC,2020-12-07 15:11:10.490051 UTC
pandas,1.1.4,2020-10-30 18:45:41.385496 UTC,2020-10-30 20:13:12.586934 UTC
pandas,1.1.3,2020-10-05 19:45:44.271739 UTC,2020-10-29 13:12:04.451255 UTC
pandas,1.1.2,2020-09-08 19:49:08.978777 UTC,2020-09-08 19:54:14.566812 UTC
pandas,1.1.1,2020-08-20 21:12:02.366842 UTC,2020-08-20 21:17:02.538780 UTC
pandas,1.1.0,2020-07-28 18:01:26.030537 UTC,2020-07-28 18:09:44.169779 UTC
pandas,1.1.0rc0,2020-07-19 17:34:02.068830 UTC,2020-07-19 17:37:32.009098 UTC
pandas,1.0.5,2020-06-18 11:30:46.426932 UTC,2020-06-18 11:33:49.356713 UTC
pandas,1.0.4,2020-05-29 11:49:40.716225 UTC,2020-05-29 11:52:43.078989 UTC
pandas,1.0.3,2020-03-18 17:08:00.461350 UTC,2020-03-18 17:11:04.981147 UTC
pandas,1.0.2,2020-03-15 13:58:47.529941 UTC,2020-03-15 14:01:26.004375 UTC
pandas,1.0.1,2020-02-05 20:50:35.384983 UTC,2020-02-05 20:55:26.601443 UTC
pandas,1.0.0,2020-01-30 11:57:40.012791 UTC,2020-01-30 12:00:20.916985 UTC
pandas,1.0.0rc0,2020-01-10 13:30:37.025083 UTC,2020-01-10 13:33:48.493025 UTC
pandas,0.25.3,2019-11-01 14:45:06.992759 UTC,2019-11-01 14:49:07.782791 UTC
pandas,0.25.2,2019-10-19 02:03:22.870530 UTC,2019-10-19 02:05:22.512221 UTC
pandas,0.25.1,2019-08-22 19:17:16.523364 UTC,2019-08-22 19:21:58.777063 UTC
pandas,0.25.0,2019-07-19 00:08:20.086397 UTC,2019-07-19 00:15:52.600518 UTC
pandas,0.25.0rc0,2019-07-04 16:11:48.974843 UTC,2019-07-04 16:15:00.966037 UTC
pandas,0.24.2,2019-03-14 10:10:10.916560 UTC,2019-03-14 10:12:53.637365 UTC
pandas,0.24.1,2019-02-04 03:08:46.643228 UTC,2019-02-04 03:33:41.651164 UTC
pandas,0.24.0,2019-01-25 21:13:23.556479 UTC,2019-01-25 21:23:00.487869 UTC
pandas,0.24.0rc1,2019-01-11 21:51:09.466839 UTC,2019-01-14 17:47:37.911318 UTC
pandas,0.23.4,2018-08-04 18:47:17.397244 UTC,2018-09-05 18:00:21.387937 UTC
pandas,0.23.3,2018-07-07 20:26:01.178473 UTC,2018-07-07 20:29:01.440838 UTC
pandas,0.23.2,2018-07-06 12:23:36.526866 UTC,2018-07-06 15:49:22.615966 UTC
pandas,0.23.1,2018-06-13 02:14:42.925889 UTC,2018-06-13 02:18:31.922415 UTC
pandas,0.23.0,2018-05-16 02:11:07.423746 UTC,2018-05-16 02:30:41.329571 UTC
pandas,0.23.0rc2,2018-05-02 16:54:40.179948 UTC,2018-05-02 17:04:47.719963 UTC
pandas,0.22.0,2017-12-31 12:37:46.046069 UTC,2017-12-31 12:44:22.533019 UTC
pandas,0.21.1,2017-12-13 04:16:33.445467 UTC,2017-12-13 04:22:18.894567 UTC
pandas,0.21.0,2017-10-28 18:44:46.975876 UTC,2017-12-13 04:16:12.486642 UTC
pandas,0.21.0rc1,2017-10-13 15:00:53.621829 UTC,2017-10-13 15:08:46.932893 UTC
pandas,0.20.3,2017-07-07 21:39:55.596866 UTC,2017-07-07 21:52:03.332112 UTC
pandas,0.20.2,2017-06-05 12:24:15.340733 UTC,2017-06-05 12:35:14.501825 UTC
pandas,0.20.1,2017-05-05 17:32:13.270483 UTC,2017-05-05 20:15:59.116481 UTC
pandas,0.20.0,2017-05-05 02:46:47.534114 UTC,2017-05-05 11:45:41.262750 UTC
pandas,0.20.0rc1,2017-04-22 11:02:58.041180 UTC,2017-04-22 16:31:34.556288 UTC
pandas,0.19.2,2016-12-24 17:02:06.649164 UTC,2017-01-03 14:29:07.783089 UTC
pandas,0.19.1,2016-11-03 16:32:09.315565 UTC,2016-11-04 08:55:49.785806 UTC
pandas,0.19.0,2016-10-02 15:47:13.474480 UTC,2016-10-03 08:30:25.277049 UTC
pandas,0.19.0rc1,2016-09-08 00:08:41.557337 UTC,2016-09-08 10:09:27.985125 UTC
pandas,0.18.1,2016-05-05 00:24:25.372953 UTC,2016-07-19 20:26:49.338216 UTC
pandas,0.18.0,2016-03-12 15:43:00.842643 UTC,2016-03-12 15:44:29.390262 UTC
pandas,0.17.1,2015-11-20 18:59:34.124851 UTC,2015-11-20 19:02:20.806679 UTC
pandas,0.17.0,2015-10-09 14:17:16.679835 UTC,2015-10-09 18:50:32.583305 UTC
pandas,0.16.2,2015-06-13 14:13:02.574277 UTC,2015-06-13 17:45:57.609236 UTC
pandas,0.16.1,2015-05-11 01:20:43.862282 UTC,2015-05-11 11:41:45.261781 UTC
